,CustomerID,Recency,Frequency,MonetaryValue,R_Score,F_Score,M_Score,RFM_Score,Segment,Churn,AvgOrderValue,PurchaseIntervalStd,UniqueProductsCount
0,12346,326,1,77183.6,1,1,4,114,低价值客户,1,77183.6,0.0,1
1,12347,2,7,4310.0,4,4,4,444,高价值新客户,0,615.7142857142857,16.78706512632734,103
2,12348,75,4,1797.24,2,3,4,234,中价值客户,0,449.31,56.95807424959364,22
3,12349,19,1,1757.55,3,1,4,314,潜力客户,0,1757.55,0.0,73
4,12350,310,1,334.4,1,1,2,112,低价值客户,1,334.4,0.0,17
5,12352,36,8,2506.04,3,4,4,344,高价值忠诚客户,0,313.255,62.80569683998065,59
6,12353,204,1,89.0,1,1,1,111,低价值客户,1,89.0,0.0,4
7,12354,232,1,1079.4,1,1,3,113,低价值客户,1,1079.4,0.0,58
8,12355,214,1,459.4,1,1,2,112,低价值客户,1,459.4,0.0,13
9,12356,23,3,2811.43,3,3,4,334,忠诚客户,0,937.1433333333333,71.5,53
10,12357,33,1,6207.67,3,1,4,314,潜力客户,0,6207.67,0.0,131
11,12358,2,2,1168.06,4,2,3,423,新客户,0,584.03,0.0,13
12,12359,58,4,6372.58,2,3,4,234,中价值客户,0,1593.145,46.657141885127174,214
13,12360,52,3,2662.06,2,3,4,234,中价值客户,0,887.3533333333334,14.0,105
14,12361,287,1,189.9,1,1,1,111,低价值客户,1,189.9,0.0,10
15,12362,3,10,5226.23,4,4,4,444,高价值新客户,0,522.6229999999999,24.326990548273795,201
16,12363,110,2,552.0,2,2,2,222,低价值客户,0,276.0,0.0,23
17,12364,8,4,1313.1,4,3,3,433,高价值新客户,0,328.275,2.160246899469287,70
18,12365,291,2,641.38,1,2,2,122,低价值客户,1,320.69,0.0,22
19,12367,4,1,168.9,4,1,1,411,新客户,0,168.9,0.0,11
20,12370,51,4,3545.69,3,3,4,334,忠诚客户,0,886.4225,90.92121131323904,143
21,12371,45,2,1887.96,3,2,4,324,潜力客户,0,943.98,0.0,63
22,12372,72,3,1298.04,2,3,3,233,中价值客户,0,432.68,28.5,34
23,12373,311,1,364.6,1,1,2,112,低价值客户,1,364.6,0.0,14
24,12374,25,1,742.9300000000001,3,1,3,313,潜力客户,0,742.9300000000001,0.0,33
25,12375,11,2,457.5,4,2,2,422,新客户,0,228.75,0.0,14
26,12377,315,2,1628.12,1,2,3,123,低价值客户,1,814.06,0.0,72
27,12378,130,1,4008.62,2,1,4,214,低价值客户,0,4008.62,0.0,219
28,12379,82,2,852.24,2,2,3,223,低价值客户,0,426.12,0.0,39
29,12380,22,4,2724.81,3,3,4,334,忠诚客户,0,681.2025,37.38389433373087,77
30,12381,5,5,1845.31,4,3,4,434,高价值新客户,0,369.062,20.980645843252777,70
31,12383,185,5,1850.56,1,3,4,134,中价值客户,1,370.11199999999997,16.170961628796228,84
32,12384,29,2,585.27,3,2,2,322,潜力客户,0,292.635,0.0,26
33,12386,338,2,401.9,1,2,2,122,低价值客户,1,200.95,0.0,10
34,12388,16,6,2780.66,4,4,4,444,高价值新客户,0,463.4433333333333,37.562747503344326,57
35,12390,80,1,549.84,2,1,2,212,低价值客户,0,549.84,0.0,32
36,12391,22,1,460.89,3,1,2,312,潜力客户,0,460.89,0.0,92
37,12393,72,4,1582.6000000000001,2,3,3,233,中价值客户,0,395.65000000000003,69.42782023239836,47
38,12394,64,2,1272.48,2,2,3,223,低价值客户,0,636.24,0.0,26
39,12395,19,12,3018.63,3,4,4,344,高价值忠诚客户,0,251.5525,16.809521111560557,91
40,12397,36,2,2409.9,3,2,4,324,潜力客户,0,1204.95,0.0,110
41,12398,46,1,1635.6599999999999,3,1,3,313,潜力客户,0,1635.6599999999999,0.0,85
42,12399,119,4,1108.65,2,3,3,233,中价值客户,0,277.1625,13.888444437333106,47
43,12401,303,1,84.3,1,1,1,111,低价值客户,1,84.3,0.0,5
44,12402,323,1,225.6,1,1,1,111,低价值客户,1,225.6,0.0,11
45,12403,50,1,427.7,3,1,2,312,潜力客户,0,427.7,0.0,5
46,12405,149,1,1710.39,1,1,4,114,低价值客户,0,1710.39,0.0,54
47,12406,22,2,3415.3,3,2,4,324,潜力客户,0,1707.65,0.0,92
48,12407,50,5,1708.1200000000001,3,3,4,334,忠诚客户,0,341.624,28.43743131859838,57
49,12408,33,5,2888.55,3,3,4,334,忠诚客户,0,577.71,7.788880963698615,81
50,12409,79,3,11072.67,2,3,4,234,中价值客户,0,3690.89,51.0,91
51,12410,309,2,693.3299999999999,1,2,3,123,低价值客户,1,346.66499999999996,0.0,26
52,12412,75,3,1226.88,2,3,3,233,中价值客户,0,408.96000000000004,15.5,43
53,12413,67,3,758.1,2,3,3,233,中价值客户,0,252.70000000000002,34.5,29
54,12414,217,3,562.41,1,3,2,132,中价值客户,1,187.47,36.5,16
55,12415,24,21,124914.53,3,4,4,344,高价值忠诚客户,0,5948.310952380953,13.365960081074943,444
56,12417,3,9,3649.1,4,4,4,444,高价值新客户,0,405.4555555555555,14.280668751847722,158
57,12418,113,1,668.58,2,1,2,212,低价值客户,0,668.58,0.0,34
58,12420,64,1,600.39,2,1,2,212,低价值客户,0,600.39,0.0,29
59,12421,16,4,807.04,4,3,3,433,高价值新客户,0,201.76,35.55590277608237,32
60,12422,96,3,803.5600000000001,2,3,3,233,中价值客户,0,267.85333333333335,41.5,39
61,12423,1,8,1859.31,4,4,4,444,高价值新客户,0,232.41375,32.93655000953519,97
62,12424,163,2,1760.96,1,2,4,124,低价值客户,1,880.48,0.0,30
63,12425,78,1,777.2,2,1,3,213,低价值客户,0,777.2,0.0,36
64,12426,195,1,582.73,1,1,2,112,低价值客户,1,582.73,0.0,30
65,12427,22,3,825.8,3,3,3,333,忠诚客户,0,275.26666666666665,136.0,26
66,12428,26,9,7956.46,3,4,4,344,高价值忠诚客户,0,884.0511111111111,34.47221103052912,258
67,12429,9,4,3750.4,4,3,4,434,高价值新客户,0,937.6,46.161552063258114,82
68,12430,43,1,256.4,3,1,1,311,潜力客户,0,256.4,0.0,11
69,12431,36,15,6487.45,3,4,4,344,高价值忠诚客户,0,432.49666666666667,22.46706991953403,163
70,12432,43,5,5059.32,3,3,4,334,忠诚客户,0,1011.8639999999999,63.0,107
71,12433,1,7,13375.87,4,4,4,444,高价值新客户,0,1910.8385714285716,101.3796823826155,219
72,12434,85,2,806.14,2,2,3,223,低价值客户,0,403.07,0.0,46
73,12435,80,2,7829.89,2,2,4,224,低价值客户,0,3914.945,0.0,31
