CustomerID,Recency,Frequency,MonetaryValue,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,326,1,77183.6,1,1,4,114,低价值客户
12347,2,7,4310.0,4,4,4,444,高价值新客户
12348,75,4,1797.24,2,3,4,234,中价值客户
12349,19,1,1757.55,3,1,4,314,潜力客户
12350,310,1,334.4,1,1,2,112,低价值客户
12352,36,8,2506.04,3,4,4,344,高价值忠诚客户
12353,204,1,89.0,1,1,1,111,低价值客户
12354,232,1,1079.4,1,1,3,113,低价值客户
12355,214,1,459.4,1,1,2,112,低价值客户
12356,23,3,2811.43,3,3,4,334,忠诚客户
12357,33,1,6207.67,3,1,4,314,潜力客户
12358,2,2,1168.06,4,2,3,423,新客户
12359,58,4,6372.58,2,3,4,234,中价值客户
12360,52,3,2662.06,2,3,4,234,中价值客户
12361,287,1,189.9,1,1,1,111,低价值客户
12362,3,10,5226.23,4,4,4,444,高价值新客户
12363,110,2,552.0,2,2,2,222,低价值客户
12364,8,4,1313.1,4,3,3,433,高价值新客户
12365,291,2,641.38,1,2,2,122,低价值客户
12367,4,1,168.9,4,1,1,411,新客户
12370,51,4,3545.69,3,3,4,334,忠诚客户
12371,45,2,1887.96,3,2,4,324,潜力客户
12372,72,3,1298.04,2,3,3,233,中价值客户
12373,311,1,364.6,1,1,2,112,低价值客户
12374,25,1,742.9300000000001,3,1,3,313,潜力客户
12375,11,2,457.5,4,2,2,422,新客户
12377,315,2,1628.12,1,2,3,123,低价值客户
12378,130,1,4008.62,2,1,4,214,低价值客户
12379,82,2,852.24,2,2,3,223,低价值客户
12380,22,4,2724.81,3,3,4,334,忠诚客户
12381,5,5,1845.31,4,3,4,434,高价值新客户
12383,185,5,1850.56,1,3,4,134,中价值客户
12384,29,2,585.27,3,2,2,322,潜力客户
12386,338,2,401.9,1,2,2,122,低价值客户
12388,16,6,2780.66,4,4,4,444,高价值新客户
12390,80,1,549.84,2,1,2,212,低价值客户
12391,22,1,460.89,3,1,2,312,潜力客户
12393,72,4,1582.6000000000001,2,3,3,233,中价值客户
12394,64,2,1272.48,2,2,3,223,低价值客户
12395,19,12,3018.63,3,4,4,344,高价值忠诚客户
12397,36,2,2409.9,3,2,4,324,潜力客户
12398,46,1,1635.6599999999999,3,1,3,313,潜力客户
12399,119,4,1108.65,2,3,3,233,中价值客户
12401,303,1,84.3,1,1,1,111,低价值客户
12402,323,1,225.6,1,1,1,111,低价值客户
12403,50,1,427.7,3,1,2,312,潜力客户
12405,149,1,1710.39,1,1,4,114,低价值客户
12406,22,2,3415.3,3,2,4,324,潜力客户
12407,50,5,1708.1200000000001,3,3,4,334,忠诚客户
12408,33,5,2888.55,3,3,4,334,忠诚客户
12409,79,3,11072.67,2,3,4,234,中价值客户
12410,309,2,693.3299999999999,1,2,3,123,低价值客户
12412,75,3,1226.88,2,3,3,233,中价值客户
12413,67,3,758.1,2,3,3,233,中价值客户
12414,217,3,562.41,1,3,2,132,中价值客户
12415,24,21,124914.53,3,4,4,344,高价值忠诚客户
